song,artist,artist_id,category,genres
Laugh Now Cry Later (feat. Lil Durk),Drake,3TVXtAsR1Inumwj472S9r4,2020,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']"
Rojo,J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,2020,"['latin', 'reggaeton', 'reggaeton colombiano']"
Wishing Well,Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,2020,"['chicago rap', 'melodic rap']"
In Your Eyes,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,2020,"['canadian contemporary r&b', 'canadian pop', 'pop']"
Dynamite,BTS,3Nrfpe0tUJi4K4DXYWgMUX,2020,"['k-pop', 'k-pop boy group']"
Memories,Maroon 5,04gDigrS5kc9YWfZHwBETP,2020,"['pop', 'pop rock']"
Bohemian Rhapsody - Remastered 2011,Queen,1dfeR4HaWDbWqFHLkxsg1d,2020,"['classic rock', 'glam rock', 'rock']"
What Makes You Beautiful,One Direction,4AK6F7OLvEQ5QYCBNiQWHq,2020,"['boy band', 'pop', 'post-teen pop', 'talent show']"
Thunder,Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,2020,"['modern rock', 'pop', 'rock']"
On Me,Lil Baby,5f7VJjfbwm532GiveGC0ZK,hiphop,"['atl hip hop', 'atl trap', 'rap']"
Tyler Herro,Jack Harlow,2LIk90788K0zvyj2JJVwkJ,hiphop,"['deep underground hip hop', 'kentucky hip hop', 'pop rap', 'rap']"
Drankin N Smokin,Future,1RyvyyTE3xzB2ZywiAwp0i,hiphop,"['atl hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Whoopty,CJ,7arQA31aZVS8yS6zUveWzb,hiphop,[]
Errbody,Lil Baby,5f7VJjfbwm532GiveGC0ZK,hiphop,"['atl hip hop', 'atl trap', 'rap']"
Fallen Blixkys,22Gz,4JhbRL6zaItAyzqx4gHTqz,hiphop,"['brooklyn drill', 'nyc rap']"
No Negotiations,Sheff G,1tG7s7S4sq2eFFW0QZyLbm,hiphop,"['brooklyn drill', 'new york drill', 'nyc rap']"
TRAGIC (feat. Youngboy Never Broke Again & Internet Money),The Kid LAROI,2tIP7SsRs7vjIcLrU85W8J,hiphop,['australian hip hop']
Whoopty,CJ,7arQA31aZVS8yS6zUveWzb,hiphop,[]
Like Me (feat. iann dior),$NOT,5IbEL2xjRtKsunfmsahLuO,hiphop,"['emo rap', 'florida rap', 'sad rap', 'underground hip hop', 'vapor trap']"
You’re Mines Still (feat. Drake),Yung Bleu,3KNIG74xSTc3dj0TRy7pGX,hiphop,"['alabama rap', 'pop r&b', 'trap']"
Letter 2 U,J.I the Prince of N.Y,2eqoJbzUGDwys5ENUkbT3h,hiphop,['nyc rap']
Coco (feat. DaBaby),24kGoldn,6fWVd57NKTalqvmjRd2t8Z,hiphop,['cali rap']
DOORS UNLOCKED (feat. Ty Dolla $ign & Polo G),Murda Beatz,3CbYyyd8wH3RT6t0jwpdzC,hiphop,['canadian hip hop']
WRONG (feat. Lil Mosey),The Kid LAROI,2tIP7SsRs7vjIcLrU85W8J,hiphop,['australian hip hop']
Many Men (Wish Death),50 Cent,3q7HBObVc0L8jNeTe5Gofh,hiphop,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']"
Public Service Announcement (Interlude),JAY-Z,3nFkdlSjzX9mRTtwJOzDYB,hiphop,"['east coast hip hop', 'hip hop', 'pop rap', 'rap']"
Stop Being Greedy,DMX,1HwM5zlC5qNWhJtM00yXzG,hiphop,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop']"
Dipset Anthem,The Diplomats,0P8YNJXX7QeQ8iZIUCXJgi,hiphop,"['gangster rap', 'hardcore hip hop', 'harlem hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
"Ante Up (feat. Busta Rhymes, Teflon & Remi Martin) - Remix",M.O.P.,1BH45DVSTeGBvcYXNCd67g,hiphop,"['alternative hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']"
Body,Megan Thee Stallion,181bsRPaVXVlUKXrxwZfHK,hiphop,"['houston rap', 'pop', 'pop rap', 'trap queen']"
Buss It,Erica Banks,2SXhbucehn00OBVKhzxDyM,hiphop,['trap queen']
Bossa Nova (feat. Tee Grizzley),Kash Doll,3u579Gdap91lMptBSdXTpf,hiphop,"['detroit hip hop', 'hip pop', 'pop r&b', 'trap queen']"
34+35,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,hiphop,"['dance pop', 'pop', 'post-teen pop']"
Like That (feat. Gucci Mane),Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,hiphop,"['dance pop', 'pop']"
positions,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,pop,"['dance pop', 'pop', 'post-teen pop']"
Levitating (feat. DaBaby),Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,pop,"['dance pop', 'pop', 'pop dance', 'uk pop']"
Therefore I Am,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,pop,"['electropop', 'pop']"
Monster (Shawn Mendes & Justin Bieber),Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,pop,"['canadian pop', 'dance pop', 'pop', 'post-teen pop', 'viral pop']"
HOLIDAY,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,pop,"['country rap', 'lgbtq+ hip hop', 'pop rap', 'queer country']"
Dakiti,Bad Bunny,4q3ewBCX7sLwd24euuV69X,pop,"['latin', 'reggaeton', 'trap latino']"
What You Know Bout Love,Pop Smoke,0eDvMgVFoNV3TpwtrVCoTj,pop,['brooklyn drill']
Prisoner (feat. Dua Lipa),Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,pop,"['dance pop', 'pop', 'pop dance', 'post-teen pop']"
Blinding Lights (with ROSALÍA) - Remix,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,pop,"['canadian contemporary r&b', 'canadian pop', 'pop']"
Put Your Records On,Ritt Momney,7MPGCB854Qo4alYMOPkBka,pop,['bedroom pop']
Heat Waves,Glass Animals,4yvcSjfu4PC0CYQyLy4wSq,pop,"['gauze pop', 'indietronica', 'modern rock', 'shiver pop']"
WITHOUT YOU,The Kid LAROI,2tIP7SsRs7vjIcLrU85W8J,pop,['australian hip hop']
Coco (feat. DaBaby),24kGoldn,6fWVd57NKTalqvmjRd2t8Z,pop,['cali rap']
Safe With Me (with Audrey Mika),Gryffin,2ZRQcIgzPCVaT9XKhXZIzh,pop,"['dance pop', 'edm', 'pop', 'pop dance', 'pop edm', 'tropical house']"
Call My Friends,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,pop,"['canadian pop', 'dance pop', 'pop', 'post-teen pop', 'viral pop']"
Blinding Lights (with ROSALÍA) - Remix,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,pop,"['canadian contemporary r&b', 'canadian pop', 'pop']"
Reminds Me Of You,Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,pop,"['chicago rap', 'melodic rap']"
Remember That Night?,Sara Kays,7Lk9V7E1u5gqSHmtcKlOqH,pop,"['modern indie pop', 'pop', 'social media pop']"
Stay Next To Me (with Chelsea Cutler),Quinn XCII,3ApUX1o6oSz321MMECyIYd,pop,"['electropop', 'indie pop rap', 'pop', 'pop rap']"
Monster (Shawn Mendes & Justin Bieber),Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,pop,"['canadian pop', 'dance pop', 'pop', 'post-teen pop', 'viral pop']"
The Christmas Song,Alessia Cara,2wUjUUtkb5lvLKcGKsKqsR,holidays,"['canadian contemporary r&b', 'canadian pop', 'dance pop', 'electropop', 'pop', 'pop dance', 'post-teen pop']"
Are U Live,Chance the Rapper,1anyVhU62p31KFi8MEzkbf,holidays,"['chicago rap', 'conscious hip hop', 'hip hop', 'pop rap', 'rap']"
"O Come, O Come Emmanuel",for KING & COUNTRY,3sDbKMebVH2VYcRSl7u1VC,holidays,"['ccm', 'christian alternative rock', 'christian indie', 'christian music', 'world worship', 'worship']"
What Christmas Means,Paige Gold,2X7gjDZ2Ei6TQi20illyO2,holidays,[]
The Loneliest Christmas,gabriel black,6lWQ8ff0y4b0fozjUcmvaJ,holidays,['modern alternative pop']
All I Want for Christmas Is You,Mariah Carey,4iHNK0tOyZPYnBU7nGAgpQ,holidays,"['dance pop', 'pop', 'r&b', 'urban contemporary']"
Last Christmas,Wham!,5lpH0xAS4fVfLkACg9DAuM,holidays,"['dance pop', 'dance rock', 'europop', 'new romantic', 'new wave', 'new wave pop', 'soft rock']"
Santa Tell Me,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,holidays,"['dance pop', 'pop', 'post-teen pop']"
Rockin' Around The Christmas Tree - Single Version,Brenda Lee,4cPHsZM98sKzmV26wlwD2W,holidays,"['adult standards', 'brill building pop']"
It's Beginning to Look a Lot like Christmas,Michael Bublé,1GxkXlMwML1oSg5eLPiAz3,holidays,"['adult standards', 'canadian pop', 'jazz pop', 'lounge']"
Chanukah Song - The,Adam Sandler,2LB9H0px4qWbCHg9Axzhga,holidays,"['comedy', 'comic']"
Happy Hanukkah,Matisyahu,5eyMzR1hYiEZtN2c9ly2kw,holidays,['reggae fusion']
Oh Hanukkah,Jack Black,0qpMYTgbXRi1ZcX6vend3T,holidays,[]
Maoz Tzur,Maccabeats,2plllpJj0sU7FsdZrn8EHq,holidays,"['college a cappella', 'jewish a capella', 'jewish pop', 'judaica']"
If It Be Your Will,HAIM,4Ui2kfOqGujY81UcPrb5KE,holidays,"['art pop', 'dance pop', 'indie pop', 'metropopolis', 'pop dance', 'pop rock', 'rock']"
A Holly Jolly Christmas - Single Version,Burl Ives,0MHgLfmQdutffmvWe5XBTN,holidays,"['adult standards', 'american folk revival']"
Christmas (Baby Please Come Home),Darlene Love,391oLRVmoTkumiN79HkTWu,holidays,"['adult standards', 'brill building pop', 'motown']"
It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),Perry Como,5v8jlSmAQfrkTjAlpUfWtu,holidays,"['adult standards', 'brill building pop', 'easy listening', 'vocal jazz']"
Jingle Bell Rock,Bobby Helms,38EmEgXkgK51MT2tPY0EoC,holidays,['adult standards']
Rockin' Around The Christmas Tree,Brenda Lee,4cPHsZM98sKzmV26wlwD2W,holidays,"['adult standards', 'brill building pop']"
Santa Tell Me,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,holidays,"['dance pop', 'pop', 'post-teen pop']"
All I Want for Christmas Is You,Mariah Carey,4iHNK0tOyZPYnBU7nGAgpQ,holidays,"['dance pop', 'pop', 'r&b', 'urban contemporary']"
Mistletoe,Justin Bieber,1uNFoZAHBGtllmzznpCI3s,holidays,"['canadian pop', 'pop', 'post-teen pop']"
Holly Jolly Christmas,Michael Bublé,1GxkXlMwML1oSg5eLPiAz3,holidays,"['adult standards', 'canadian pop', 'jazz pop', 'lounge']"
Naughty List (with Dixie D’Amelio),Liam Payne,5pUo3fmmHT8bhCyHE52hA6,holidays,"['dance pop', 'pop', 'post-teen pop']"
hole in the bottle (with Shania Twain),Kelsea Ballerini,3RqBeV12Tt7A8xH3zBDDUF,country,"['contemporary country', 'pop']"
One Of Them Girls,Lee Brice,5Zq7R5qmi58ByYyBQTlNuk,country,"['contemporary country', 'country', 'country road', 'modern country rock']"
Down To One,Luke Bryan,0BvkDsjIUla7X0k6CSWh1I,country,"['contemporary country', 'country', 'country road']"
GOOD TIME,Niko Moon,6Rw7DRa1dzChBvxGPCpOxU,country,['contemporary country']
Forever After All,Luke Combs,718COspgdWOnwOFpJHRZHS,country,['contemporary country']
She Don't Know She's Beautiful,Sammy Kershaw,3tkZthBATD0S45hm1DmB2O,country,"['country', 'country road', 'country rock']"
When You Say Nothing At All,Alison Krauss & Union Station,0OTnx2X2FDXeewcm72lavT,country,"['bluegrass', 'folk', 'progressive bluegrass']"
Bye-Bye,Jo Dee Messina,3ltFy7g6KKQPPttsdOMlq3,country,"['contemporary country', 'country', 'country dawn', 'country road']"
Neon Moon,Brooks & Dunn,0XKOBt59crntr7HQXXO8Yz,country,"['contemporary country', 'country', 'country road', 'country rock']"
Just To See You Smile,Tim McGraw,6roFdX1y5BYSbp60OTJWMd,country,"['contemporary country', 'country', 'country road']"
Forever After All,Luke Combs,718COspgdWOnwOFpJHRZHS,country,['contemporary country']
The Bones,Maren Morris,6WY7D3jk8zTrHtmkqqo5GI,country,"['contemporary country', 'texas country']"
The Good Ones,Gabby Barrett,6Iz3eq2aQGFf7TbGT2iahL,country,['contemporary country']
Got What I Got,Jason Aldean,3FfvYsEGaIb52QPXhg4DcH,country,"['contemporary country', 'country', 'country road']"
Love You Like I Used To,Russell Dickerson,1E2AEtxaFaJtH0lO7kgNKw,country,"['contemporary country', 'country', 'country road', 'modern country rock']"
Closer To You,Carly Pearce,4sIl4BTo9l9KqEi0Y3RE72,country,"['contemporary country', 'country pop']"
I'm Comin' Over,Chris Young,4BYxqVkZyFjtik7crYLg5Q,country,"['contemporary country', 'country', 'country road', 'modern country rock']"
Drunk Me,Mitchell Tenpenny,1p6CdzJRoicjRcSdWoB9Qc,country,"['contemporary country', 'heartland rock']"
God's Country,Blake Shelton,1UTPBmNbXNTittyMJrNkvw,country,"['contemporary country', 'country', 'country road', 'oklahoma country']"
Kiss Somebody,Morgan Evans,6fzQ81ouajOEFqCIB9VwrS,country,"['australian country', 'australian pop', 'contemporary country']"
Fool's Love Affair,Randy Travis,1pTuR132U5b4Rizal2Pr7m,country,"['contemporary country', 'country', 'country gospel', 'country road', 'country rock']"
Love Is Alive,The Judds,7MSTO40bsb3DOJQT6xLsIc,country,"['country', 'country dawn', 'country rock']"
"Lord, I Hope This Day Is Good - Single Version",Don Williams,4Ti0EKl2PVEms2NRMVGqNe,country,"['classic country pop', 'country', 'country rock']"
40 Hour Week (For A Livin'),Alabama,6rJqqRce0Kvo2dJUXoHleC,country,"['country', 'country road', 'country rock']"
Guitar Town,Steve Earle,2UBTfUoLI07iRqGeUrwhZh,country,"['alternative country', 'country rock', 'folk', 'folk rock', 'heartland rock', 'mellow gold', 'new americana', 'outlaw country', 'rock', 'roots rock', 'singer-songwriter', 'texas country', 'traditional folk']"
Turks (feat. Travis Scott),NAV,7rkW85dBwwrJtlHRDkJDAC,workout,"['canadian hip hop', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'toronto rap', 'trap']"
Blueberry Faygo,Lil Mosey,5zctI4wO9XSKS8XwcnqEHk,workout,"['melodic rap', 'rap conscient', 'vapor trap']"
Said Sum,Moneybagg Yo,3tJoFztHeIJkJWMrx0td2f,workout,"['hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']"
Whoopty,CJ,7arQA31aZVS8yS6zUveWzb,workout,[]
Flip Reset,Kaskade,6TQj5BFPooTa08A7pk8AQ1,workout,"['big room', 'chicago house', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'progressive house', 'tropical house', 'vocal house']"
XS,Rina Sawayama,2KEqzdPS7M5YwGmiuPTdr5,workout,"['art pop', 'dance pop', 'electropop', 'escape room', 'hyperpop', 'pop', 'pop dance']"
Purple Hat,Sofi Tukker,586uxXMyD5ObPuzjtrzO1Q,workout,[]
Heart Of Glass (Live from the iHeart Festival),Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,workout,"['dance pop', 'pop', 'pop dance', 'post-teen pop']"
Fever,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,workout,"['dance pop', 'pop', 'pop dance', 'uk pop']"
Higher Love,Kygo,23fqKkggKUBHNkbKtXEls4,workout,"['edm', 'pop', 'pop dance', 'tropical house']"
Do It All Over (feat. Marc E. Bassy),Cheat Codes,7DMveApC7UnC2NPfPvlHSU,workout,"['dance pop', 'edm', 'electro house', 'electropop', 'pop', 'pop dance', 'pop edm', 'pop rap', 'post-teen pop', 'tropical house']"
Wonder,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,workout,"['canadian pop', 'dance pop', 'pop', 'post-teen pop', 'viral pop']"
One Whole Day (feat. Wiz Khalifa),Dixie D’Amelio,3DKkhRCGOG4e8IUPYFPfWs,workout,['social media pop']
Prisoner (feat. Dua Lipa),Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,workout,"['dance pop', 'pop', 'pop dance', 'post-teen pop']"
Donuts (feat. Yung Bae),kenzie,5pWUVnrc1y0FpWZ6VCy0Hg,workout,['social media pop']
Mad World,Timmy Trumpet,0CbeG1224FS58EUx4tPevZ,workout,"['australian dance', 'edm', 'melbourne bounce', 'melbourne bounce international', 'pop dance']"
Energy,Stace Cadet,4C825UjHAWCMvdZwbtpwDT,workout,['australian house']
Goosebumps,HVME,2o08sCWF5yyo2G4DCiT7T9,workout,[]
Love Not War (The Tampa Beat),Jason Derulo,07YZf4WDAMNwqr4jfgOZ8y,workout,"['dance pop', 'pop', 'pop dance', 'pop rap', 'post-teen pop']"
Edge of Midnight (Midnight Sky Remix) (feat. Stevie Nicks),Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,workout,"['dance pop', 'pop', 'pop dance', 'post-teen pop']"
I Follow Rivers,Helion,05GSra7vTwr8o54Brzp2nA,workout,['melbourne bounce international']
Don't Leave Me Now,Lost Frequencies,7f5Zgnp2spUuuzKplmRkt7,workout,"['belgian edm', 'edm', 'pop', 'pop dance', 'tropical house']"
Unbreakable (feat. Clarence Coffee Jr.),BUNT.,2CpLIMBoE2ZzyY3ZBCRZ7j,workout,"['deep tropical house', 'pop edm', 'tropical house']"
Hallucinate - Paul Woolford Remix,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,workout,"['dance pop', 'pop', 'pop dance', 'uk pop']"
You Should Know (feat. Craig Smart),Sam Feldt,20gsENnposVs2I4rQ5kvrf,workout,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'pop edm', 'tropical house']"
Whole Lotta Love - 1990 Remaster,Led Zeppelin,36QJpDe2go2KgaRleHCDTp,rock,"['album rock', 'classic rock', 'hard rock', 'rock']"
All Along the Watchtower,Jimi Hendrix,776Uo845nYHJpNaStv1Ds4,rock,"['acid rock', 'album rock', 'blues rock', 'classic rock', 'psychedelic rock', 'rock']"
Back In Black,AC/DC,711MCceyCBcFnzjGY4Q7Un,rock,"['album rock', 'australian rock', 'hard rock', 'rock']"
"Paint It, Black - Mono",The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,rock,"['album rock', 'british invasion', 'classic rock', 'rock']"
Rebel Rebel - 1999 Remaster,David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,rock,"['album rock', 'art rock', 'classic rock', 'dance rock', 'glam rock', 'permanent wave', 'rock']"
Do You Love Me,The Contours,2ugPdplEWBmyU6EcIzlcY1,rock,"['motown', 'northern soul']"
Shakin' All Over,Johnny Kidd & The Pirates,52y1cRHUkI0kQqIXCg6JuZ,rock,"['british invasion', 'merseybeat', 'rock-and-roll', 'rockabilly']"
The Twist,Chubby Checker,7qQJQ3YtcGlqaLg5tcypN2,rock,"['adult standards', 'brill building pop', 'doo-wop', 'rock-and-roll', 'rockabilly']"
Viva Las Vegas,Elvis Presley,43ZHCT0cAZBISjO8DG9PnE,rock,"['rock-and-roll', 'rockabilly']"
Somethin' Else,Eddie Cochran,1p0t3JtUTayV2wb1RGN9mO,rock,"['adult standards', 'brill building pop', 'rock-and-roll', 'rockabilly']"
Poison,Alice Cooper,3EhbVgyfGd7HkpsagwL9GS,rock,"['album rock', 'blues rock', 'classic rock', 'glam metal', 'glam rock', 'hard rock', 'metal', 'protopunk', 'rock']"
Kick It In - Remastered 2002,Simple Minds,6hN9F0iuULZYWXppob22Aj,rock,"['art rock', 'dance rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'rock', 'scottish new wave', 'soft rock', 'synthpop']"
Batdance,Prince,5a2EaR3hamoenG9rDuVn8j,rock,"['funk', 'funk rock', 'minneapolis sound', 'motown', 'synth funk']"
Sick Of It,The Primitives,4FPmAi3p4T3p0AsthfqHMA,rock,"['c86', 'candy pop', 'new wave pop']"
Pure,The Lightning Seeds,67YNiSqhrx1P8oPvIIvbP5,rock,"['britpop', 'dance rock', 'new romantic', 'new wave', 'new wave pop', 'pop rock']"
Last Kiss,Pearl Jam,1w5Kfo2jwwIPruYS2UWh56,rock,"['alternative rock', 'grunge', 'permanent wave', 'pop rock', 'rock']"
All Star,Smash Mouth,2iEvnFsWxR0Syqu2JNopAd,rock,"['alternative rock', 'pop rock']"
She's so High,Tal Bachman,3KEb1kbIZN5jumsjFEWgSW,rock,['pop rock']
Scar Tissue,Red Hot Chili Peppers,0L8ExT028jH3ddEcZwqJJ5,rock,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']"
Black Balloon,The Goo Goo Dolls,2sil8z5kiy4r76CRTXxBCA,rock,"['alternative rock', 'neo mellow', 'permanent wave', 'pop rock', 'post-grunge', 'rock']"
Smells Like Teen Spirit,Nirvana,6olE6TJLqED3rqDCT0FyPh,rock,"['alternative rock', 'grunge', 'permanent wave', 'rock']"
Zombie,The Cranberries,7t0rwkOPGlDPEhaOcVtOt9,rock,"['irish rock', 'pop rock', 'rock']"
Under the Bridge,Red Hot Chili Peppers,0L8ExT028jH3ddEcZwqJJ5,rock,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']"
Killing In The Name,Rage Against The Machine,2d0hyoQ5ynDBnkvAbJKORj,rock,"['alternative metal', 'alternative rock', 'conscious hip hop', 'funk metal', 'nu metal', 'political hip hop', 'rap metal', 'rap rock', 'rock']"
Wonderwall - Remastered,Oasis,2DaxqgrOhkeH0fpeiQq2f4,rock,"['beatlesque', 'britpop', 'madchester', 'modern rock', 'permanent wave', 'rock']"
Dakiti,Bad Bunny,4q3ewBCX7sLwd24euuV69X,latin,"['latin', 'reggaeton', 'trap latino']"
BICHOTA,KAROL G,790FomKkXshlbRYZFtlgla,latin,"['latin', 'reggaeton', 'reggaeton colombiano', 'trap latino']"
Chica Ideal,Sebastian Yatra,07YUOmWljBTXwIseAUd9TW,latin,"['colombian pop', 'latin', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino']"
