song,artist,category
Techno Prank,Dubdogz,party
Enough Of You,Tujamo,party
Deep Down Low,Valentino Khan,party
Sexy Bitch (feat. Akon),David Guetta,party
DJ Got Us Fallin' In Love (feat. Pitbull),Usher,party
Good Feeling,Flo Rida,party
Only Girl (In The World),Rihanna,party
Loca People - Radio Edit,Sak Noel,party
Shower,Becky G,party
Circles,Megan Thee Stallion,party
Love Not War (The Tampa Beat),Jason Derulo,party
Prisoner (feat. Dua Lipa),Miley Cyrus,party
My Head & My Heart,Ava Max,party
Monsters (feat. blackbear),All Time Low,party
Take Me Out,Franz Ferdinand,party
The Best (feat. Alice Merton),AWOLNATION,party
Lo/Hi,The Black Keys,party
Brooklyn Bridge To Chorus,The Strokes,party
Body,Megan Thee Stallion,party
Buss It,Erica Banks,party
Bossa Nova (feat. Tee Grizzley),Kash Doll,party
34+35,Ariana Grande,party
Like That (feat. Gucci Mane),Doja Cat,party
Black Lungs,Architects,metal
The Path,Fit For A King,metal
Protect The Land,System Of A Down,metal
Let The Chaos Reign,Pop Evil,metal
SLEEPS SOCIETY,While She Sleeps,metal
Black Lungs,Architects,metal
Glass Heart,Captives,metal
HostAge At A BeAch House PArty,AVOID,metal
that won't save us,Against The Current,metal
Clarity,ENMY,metal
Rollin' (Air Raid Vehicle),Limp Bizkit,metal
Butterfly,Crazy Town,metal
One Step Closer,Linkin Park,metal
Chop Suey!,System Of A Down,metal
Falling Away from Me,Korn,metal
Unsainted,Slipknot,metal
Uncontrollable Descent,Emmure,metal
Paramount,August Burns Red,metal
One Folk,Equilibrium,metal
Outsider,Veil Of Maya,metal
Paranoid,Black Sabbath,metal
Immigrant Song - Remaster,Led Zeppelin,metal
Ace of Spades,Motörhead,metal
Highway Star - Remastered 2012,Deep Purple,metal
Holy Diver,Dio,metal
Whole Lotta Love - 1990 Remaster,Led Zeppelin,rock
All Along the Watchtower,Jimi Hendrix,rock
Back In Black,AC/DC,rock
"Paint It, Black - Mono",The Rolling Stones,rock
Rebel Rebel - 1999 Remaster,David Bowie,rock
Do You Love Me,The Contours,rock
Shakin' All Over,Johnny Kidd & The Pirates,rock
The Twist,Chubby Checker,rock
Viva Las Vegas,Elvis Presley,rock
Somethin' Else,Eddie Cochran,rock
Poison,Alice Cooper,rock
Kick It In - Remastered 2002,Simple Minds,rock
Batdance,Prince,rock
Sick Of It,The Primitives,rock
Pure,The Lightning Seeds,rock
Last Kiss,Pearl Jam,rock
All Star,Smash Mouth,rock
She's so High,Tal Bachman,rock
Scar Tissue,Red Hot Chili Peppers,rock
Black Balloon,The Goo Goo Dolls,rock
Smells Like Teen Spirit,Nirvana,rock
Zombie,The Cranberries,rock
Under the Bridge,Red Hot Chili Peppers,rock
Killing In The Name,Rage Against The Machine,rock
Wonderwall - Remastered,Oasis,rock
Regardless,RAYE,edm_dance
Save My Life (feat. Lovespeake),David Guetta,edm_dance
Paul Is Dead,Scooter,edm_dance
No Time For Tears,Nathan Dawe,edm_dance
Lovefool (feat. Pia Mia),twocolors,edm_dance
don't be so hard on yourself,dj poolboi,edm_dance
All My Days,Forester,edm_dance
Her Theme,Lstn,edm_dance
I Can't See,ROW,edm_dance
Ikebana,Nora Van Elken,edm_dance
Beirut,Soltan,edm_dance
Kings,Bailo,edm_dance
TIKTOK,BLVK JVCK,edm_dance
Operator Bludgeoning,Chee,edm_dance
Chicane - Kumarion Remix,QUIX,edm_dance
Run,Steny,edm_dance
Home,Solomun,edm_dance
Trapdoor,Gorgon City,edm_dance
Need To Feel Loved - Tinlicker Remix,Reflekt,edm_dance
Enchantment,Nora En Pure,edm_dance
Believer (feat. Wynter Gordon) - Radio Edit,Freemasons,edm_dance
Blue (Da Ba Dee) - Gabry Ponte Video Edit,Eiffel 65,edm_dance
Every Word (feat. Daniella) - Wendel Kos Radio Edit,Ercola,edm_dance
Fight For You - Sultan & Ned Shephard Remix Radio Edit,Morgan Page,edm_dance
Infinity - Klaas Vocal Mix,Guru Josh Project,edm_dance
Words Ain't Enough,Tessa Violet,dinner
I’m Okay Though,Sara Kays,dinner
Take It With Me,S. Carey,dinner
don't waste your time,slchld,dinner
Sundowner,Kevin Morby,dinner
Stella By Starlight,Herlin Riley,dinner
Cedar Waltzin' ~ Don't You Worry 'bout a Thing,Eric Reed,dinner
Captain’s Song,Connie Han,dinner
L.A. 58,Aldo Romano,dinner
All Things Considered,Andy Laverne,dinner
anywhere,Jonah Yano,dinner
Ophelia,The Lumineers,dinner
Power Over Me,Dermot Kennedy,dinner
The Girl,City and Colour,dinner
Georgia,Vance Joy,dinner
Ocean,Gradient Island,dinner
That Something,Jones Meadow,dinner
Moments of Clarity,Gallway Flex,dinner
Train 201,Raytone,dinner
Taormina,Deep Divers,dinner
La del bar,Gèrard,dinner
Mar Y Cielo,La Marisoul,dinner
Lo Mismo Que Usted,Pantoja,dinner
Calaveras y Diablitos,Los Fabulosos Cadillacs,dinner
Oye Como Va,Faul & Wad Ad,dinner
Blue Train - Remastered 2003,John Coltrane,jazz
It Could Happen To You,Miles Davis Quintet,jazz
Joy Spring,Clifford Brown,jazz
Weaver Of Dreams - Remastered 2003/Rudy Van Gelder Edition,Freddie Hubbard,jazz
This I Dig Of You - Remastered 1999/Rudy Van Gelder Edition,Hank Mobley,jazz
Ke Nako,Bokani Dyer,jazz
Welcome to the Hills,Yussef Dayes,jazz
Nuda Sorgente,Lorenzo Morresi,jazz
Floating Island,Matthew Halsall,jazz
Não Tem Nada Não Jazz,Kaidi & NK-OK,jazz
I Think It's Going to Rain Today,Lucia Cadotsch,jazz
ignorance is bliss,Kei Matsumaru,jazz
Tidal,Nicole McCabe,jazz
In the Shadow of Joe Oliver,Branford Marsalis,jazz
I Had a Dream,Chris Potter,jazz
Together,Matthew Halsall,jazz
Misty - Remastered 2020,Erroll Garner,jazz
Simplicity,Edward Simon,jazz
Clouds,Portraits in Jazz,jazz
Our Son,Al Foster,jazz
Blues Walk,Lou Donaldson,jazz
Moanin',Art Blakey,jazz
Cantaloupe Island - Remastered 1999 / Rudy Van Gelder Edition,Herbie Hancock,jazz
One For Daddy-O - Remastered,Cannonball Adderley,jazz
Book Of Slim,Gene Harris & The Three Sounds,jazz
Thank God I Found You (feat. Joe & Nas) - Make It Last Remix Edit,Mariah Carey,rnb
Stutter (feat. Mystikal) - Double Take Remix,Joe,rnb
Go On Girl,Ne-Yo,rnb
Stingy,Ginuwine,rnb
That Girl,Marques Houston,rnb
808,Blaque,rnb
Never Too Busy,Kenny Lattimore,rnb
Nobody Else,Tyrese,rnb
It Had to Be You,Silk,rnb
How Deep Is Your Love,Dru Hill,rnb
Love On Top,Beyoncé,rnb
Adorn,Miguel,rnb
Redbone,Childish Gambino,rnb
Don't,Bryson Tiller,rnb
Best Part (feat. H.E.R.),Daniel Caesar,rnb
Slow Down,VanJess,rnb
You Got It,Vedo,rnb
Dead Man Walking,Brent Faiyaz,rnb
I Like,ROE,rnb
Opia,Savannah Ré,rnb
Don't Waste My Time (feat. Ella Mai),Usher,rnb
Gotta Move On,Toni Braxton,rnb
Caught Up (feat. Khalid),Majid Jordan,rnb
Got Me (with Ari Lennox & Omen feat. Ty Dolla $ign & Dreezy),Dreamville,rnb
Bust Your Windows,Jazmine Sullivan,rnb
Let Go,Chama Wijnen,instrumental
FILO,Traßel SüD,instrumental
High Beliefs,Moments of Clarity,instrumental
W.E.,Asa Bjorg,instrumental
Atmos Eleven,Atmos 11,instrumental
Bad Guy,Eklipse,instrumental
Blinding Lights,Vitamin String Quartet,instrumental
Señorita,Simply Three,instrumental
Smells Like Teen Spirit - Piano Cover,Queenz of Piano,instrumental
Rain On Me,Vitamin String Quartet,instrumental
Poetic Wax,Dusty Decks,instrumental
Postman,Carl Dickman,instrumental
Lie Down,Kino B,instrumental
Tiny Things,Giants' Nest,instrumental
Lef T,DCS Lefty,instrumental
Ravel's Bolero,Ferrante & Teicher,instrumental
Sleepwalk,Santo & Johnny,instrumental
Spanish Harlem - Nuits d'Espagne,Franck Pourcel,instrumental
Soleado,John Days,instrumental
Saute-Mouton,James Last,instrumental
Kyoto,Innocent Panda,instrumental
Lofi Nights,Best Friends Club,instrumental
Treehouse,Ran the Man,instrumental
Mist,N78,instrumental
Vibrations From You,Tomas Skyldeberg,instrumental
"Hungry Eyes - From ""Dirty Dancing"" Soundtrack",Eric Carmen,romance
Hard to Say I'm Sorry - 2007 Remaster,Chicago,romance
Every Breath You Take,The Police,romance
Heaven,Bryan Adams,romance
All Out of Love,Air Supply,romance
Iris,The Goo Goo Dolls,romance
Torn - Acoustic MTV Unplugged,Natalie Imbruglia,romance
Crash into Me,Dave Matthews Band,romance
Fade Into You,Mazzy Star,romance
"I Don't Want to Miss a Thing - From ""Armageddon"" Soundtrack",Aerosmith,romance
Forever After All,Luke Combs,romance
The Bones,Maren Morris,romance
The Good Ones,Gabby Barrett,romance
Got What I Got,Jason Aldean,romance
Love You Like I Used To,Russell Dickerson,romance
Slow Down,VanJess,romance
You Got It,Vedo,romance
Dead Man Walking,Brent Faiyaz,romance
I Like,ROE,romance
Opia,Savannah Ré,romance
Make You Feel My Love,Adele,romance
Your Song,Elton John,romance
All of Me,John Legend,romance
At Last - Single Version,Etta James,romance
Beyond,Leon Bridges,romance
I Heard It Through The Grapevine,Marvin Gaye,soul
I Want You Back,The Jackson 5,soul
My Girl,The Temptations,soul
Someday We'll Be Together,Diana Ross & The Supremes,soul
Give It To Me Baby,Rick James,soul
Ain't No Mountain High Enough,Marvin Gaye,soul
What Becomes Of The Brokenhearted - Single Version,Jimmy Ruffin,soul
Nowhere To Run - Single Version / Mono,Martha Reeves & The Vandellas,soul
It Takes Two,Marvin Gaye,soul
Shotgun,Jr. Walker & The All Stars,soul
My Guy,Mary Wells,soul
Needle In A Haystack,The Velvelettes,soul
You've Been In Love Too Long - Single Version,Martha Reeves & The Vandellas,soul
If I Were Your Woman,Gladys Knight & The Pips,soul
Love Child,Diana Ross & The Supremes,soul
What's Going On,Marvin Gaye,soul
I Should Be Proud,Martha Reeves & The Vandellas,soul
Ball Of Confusion (That's What The World Is Today),The Temptations,soul
War,Edwin Starr,soul
Friendship Train,Gladys Knight & The Pips,soul
Come And Get These Memories,Martha Reeves & The Vandellas,soul
Cloud Nine,The Temptations,soul
Reach Out I'll Be There - Single Version / Mono,Four Tops,soul
Where Did Our Love Go,The Supremes,soul
Shop Around,The Miracles,soul
you should see me in a crown,Billie Eilish,indie_alt
Youth,Glass Animals,indie_alt
We Appreciate Power,Grimes,indie_alt
Motion Sickness,Phoebe Bridgers,indie_alt
"Archie, Marry Me",Alvvays,indie_alt
Sexy Boy,Air,indie_alt
You Can Have It All,Yo La Tengo,indie_alt
The First Big Weekend,Arab Strap,indie_alt
Girl From Mars,Ash,indie_alt
New French Girlfriend,The Auteurs,indie_alt
Nothing To Be Done,The Pastels,indie_alt
Alison,Slowdive,indie_alt
Call Me,Blondie,indie_alt
Just Like Honey,The Jesus and Mary Chain,indie_alt
Genius of Love,Tom Tom Club,indie_alt
Close To Me,The Cure,indie_alt
Blue Monday - 2016 Remaster,New Order,indie_alt
This Charming Man - 2011 Remaster,The Smiths,indie_alt
Town Called Malice,The Jam,indie_alt
She Sells Sanctuary,The Cult,indie_alt
Grass,Animal Collective,indie_alt
Hope There's Someone,Antony and the Johnsons,indie_alt
Wake Up,Arcade Fire,indie_alt
I Bet You Look Good On The Dancefloor,Arctic Monkeys,indie_alt
Killamangiro,Babyshambles,indie_alt
"The Well-Tempered Clavier: Book 1, BWV 846-869: 1. Prelude in C Major, BWV 846",Johann Sebastian Bach,classical
The Lark Ascending,Ralph Vaughan Williams,classical
"Handel / Orch. Hale: Keyboard Suite in D Minor, HWV 437: III. Sarabande",George Frideric Handel,classical
"Bagatelle No. 25 in A Minor, ""Für Elise"", WoO 59",Ludwig van Beethoven,classical
"Rhapsody On A Theme Of Paganini, Op.43: Variation 18. Andante cantabile",Sergei Rachmaninoff,classical
"O Come, O Come Emmanuel",James Morgan,classical
Silent Night - Piano Version,Andrea Bocelli,classical
We'll Meet Again,Ross Parker,classical
My Friend the Forest,Nils Frahm,classical
Sussex Carol (On Christmas Night) [Live],Traditional,classical
In the Bleak Midwinter,The Sixteen,classical
The Twelve Days Of Christmas,Tenebrae,classical
I Wonder as I Wander,Traditional,classical
I Pray - Arr. Paul Campbell,Paul Mealor,classical
Now May We Singen,Cecilia McDowall,classical
The holly and the ivy,Traditional,classical
Ding Dong! Merrily on High,Anonymous,classical
Once in Royal David's City,Henry Gauntlet,classical
The First Nowell,Anonymous,classical
Somewhere in My Memory - Chorus & Orchestra Version,John Williams,classical
Dappled Light,Luke Howard,classical
Fracture,Stephan Moccio,classical
Blow The Wind Southerly (Arr. Kanneh-Mason),Traditional,classical
These Days - Solo Piano Version,Alexis Ffrench,classical
All Human Beings (Voiceless Mix) - Pt. 3,Max Richter,classical
Baby Shark,Pinkfong,family
Dance Monkey,Tones And I,family
"All I Want - From ""High School Musical: The Musical: The Series""",Olivia Rodrigo,family
The Other Side (from Trolls World Tour),SZA,family
Say So,Kidz Bop Kids,family
"Tell Me a Story, Daddy",Margith Mathiesen,family
Forget Me Not,Victor Kovacs,family
Over The River And Through The Woods,Penelope Lang,family
Always By Your Side,Margith Mathiesen,family
Dreaming,Vinnie Gianni,family
Some Things Never Change,Kristen Bell,family
"Reflection (2020) - From ""Mulan""",Christina Aguilera,family
You've Got a Friend in Me,Randy Newman,family
Into the Unknown,Idina Menzel,family
"Loyal Brave True - From ""Mulan""",Christina Aguilera,family
Kind Words,Claudia Robin Gunn,family
Glue,Frances England,family
Baby Beluga - 40th Anniversary Version,Raffi,family
Honey Oh Be,Angie Who,family
You Are My Sunshine (Version 1),Elizabeth Mitchell,family
Baby Shark,Mini Stars,family
La Canción de la Efe,Thalia,family
El Valiente Martin,Atención Atención,family
De La Luna Al Sol,El David Aguilar,family
The Moon Song,Mi Sobrino Memo,family
LA NOCHE DE ANOCHE,Bad Bunny,latin
La Nota,Manuel Turizo,latin
Dakiti,Bad Bunny,latin
BICHOTA,KAROL G,latin
Chica Ideal,Sebastian Yatra,latin
Ponte Pa' Mi,Justin Quiles,latin
TE MUDASTE,Bad Bunny,latin
La Nota,Manuel Turizo,latin
Mi Niña,Wisin,latin
BICHOTA,KAROL G,latin
s a l u d o s,KORDELYA,latin
Lotería,Sarah Silva,latin
Qué Vas A Hacer?,XAXO,latin
Te bloqueo,Naicok,latin
Vámonos,Nobeat,latin
Chunti,Beach Goons,latin
s a l u d o s,KORDELYA,latin
Oscuridad,Jasper Bones,latin
Drown,Cuco,latin
No Te Vayas with Jane,Danto,latin
Valió la Pena - Salsa Version,Marc Anthony,latin
A Puro Dolor,Son By Four,latin
Amores como el nuestro (Salsa),Jerry Rivera,latin
La Bilirrubina,Juan Luis Guerra 4.40,latin
