song,song_id,artist,artist_id,category,genres,filtered_genres,audio_ft_danceability,audio_ft_energy,audio_ft_key,audio_ft_loudness,audio_ft_mode,audio_ft_speechiness,audio_ft_acousticness,audio_ft_instrumentalness,audio_ft_liveness,audio_ft_valence,audio_ft_tempo,audio_ft_duration_ms,audio_ft_time_signature
Dirty,3MTfE3Mo3lfwAymYLU2luX,grandson,4ZgQDCtRqZlhLswVS6MHN4,toplists,"['rock', 'modern']","['rock', 'modern']",0.536,0.845,2,-5.765,1,0.0615,0.0033,0.0,0.0465,0.6,159.953,208296,4
ESTELLA// (feat. Travis Barker),4v2Bq0xDB7uNN73I5b44Du,KennyHoopla,5ObBtv5VunwwhQaXXnUrsM,toplists,"['alternative', 'modern']","['alternative', 'modern']",0.472,0.811,8,-5.121,1,0.0612,0.000839,0.000143,0.373,0.637,164.991,118733,4
Trouble’s Coming,5eR6OS3joTAHJToyzehKfu,Royal Blood,2S5hlvw4CMtMGswFtfdK15,toplists,"['rock', 'garage', 'modern', 'brighton']","['rock', 'modern']",0.767,0.694,1,-5.059,0,0.0384,0.0629,0.0,0.32,0.78,112.012,228400,4
Take Me Away,4CEqDmkqD7illXHuym76V6,Ayron Jones,1iEaqWaYpKo9x0OrEq7Q7z,toplists,['seattle'],['seattle'],0.475,0.844,1,-4.448,0,0.0622,0.00012,0.111,0.221,0.554,156.136,246933,4
Regardless,3DTqHfTGj1c6y2gDXsTez4,RAYE,5KKpBU5eC2tJDzf0wmlRp2,toplists,"['uk', 'pop', 'tropical', 'post-teen', 'dance']","['uk', 'pop', 'tropical', 'dance']",0.749,0.82,7,-6.114,1,0.0478,0.0205,0.000685,0.0775,0.534,120.066,197573,4
Save My Life (feat. Lovespeake),1w8DxFHDDInmn5TovLKKrW,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,toplists,"['tropical', 'pop', 'edm', 'dance']","['tropical', 'pop', 'edm', 'dance']",0.704,0.745,11,-7.664,0,0.0448,0.00135,0.741,0.234,0.0511,128.002,183750,4
Paul Is Dead,7d5wXNOlF7TGZayKu0h12F,Scooter,0HlxL5hisLf59ETEPM3cUA,toplists,"['europop', 'happy', 'eurodance', 'hamburg', 'german']","['europop', 'german']",0.496,0.868,6,-4.577,0,0.0984,0.305,3.9e-05,0.16,0.237,169.861,175000,4
No Time For Tears,2Rr1INov0ckj7bLTsk9LV1,Nathan Dawe,2gduEC76ry33RVurAvT05p,toplists,"['house', 'tropical', 'pop', 'uk']","['tropical', 'pop', 'uk']",0.543,0.881,9,-3.035,0,0.188,0.0263,1.41e-05,0.107,0.397,125.009,196777,4
Lovefool (feat. Pia Mia),1Qw4FBX30bGdutJ19HBD7T,twocolors,7ACEUD7UsmmXrnj4OLt8f9,toplists,['pop'],['pop'],0.64,0.796,6,-5.141,1,0.0606,0.0233,0.0,0.239,0.164,122.905,190244,4
hole in the bottle (with Shania Twain),2bV4NwncWMnVvcWyU2yxwB,Kelsea Ballerini,3RqBeV12Tt7A8xH3zBDDUF,toplists,"['pop', 'contemporary']","['pop', 'contemporary']",0.598,0.839,4,-4.605,1,0.111,0.106,0.0,0.372,0.783,105.084,156276,4
One Of Them Girls,14GwnOeC9qYEKEA6uOZepa,Lee Brice,5Zq7R5qmi58ByYyBQTlNuk,toplists,"['modern', 'contemporary', 'country']","['modern', 'contemporary', 'country']",0.643,0.79,4,-6.079,1,0.0462,0.294,0.0,0.107,0.8,95.987,188893,4
Down To One,6QpZSfLid1YZ6c01BvB5jH,Luke Bryan,0BvkDsjIUla7X0k6CSWh1I,toplists,"['contemporary', 'country']","['contemporary', 'country']",0.62,0.776,8,-4.109,1,0.0365,0.358,4.31e-05,0.11,0.551,93.963,221633,4
GOOD TIME,5Kpg1A7BOHpBbaT3H3xqd3,Niko Moon,6Rw7DRa1dzChBvxGPCpOxU,toplists,['contemporary'],['contemporary'],0.79,0.646,5,-5.878,1,0.0447,0.132,0.0,0.295,0.641,138.047,214707,4
Forever After All,6IBcOGPsniK3Pso1wHIhew,Luke Combs,718COspgdWOnwOFpJHRZHS,toplists,['contemporary'],['contemporary'],0.487,0.65,0,-5.195,1,0.0253,0.191,0.0,0.0933,0.456,151.964,232533,4
"One Beer (HARDY feat. Lauren Alaina, Devin Dawson)",5FmvaZGd6fulojSToozLRD,HIXTAPE,4SbuhLih8eWLmqFzzmM3AK,2020,['contemporary'],['contemporary'],0.516,0.745,2,-8.352,1,0.0774,0.563,0.0,0.275,0.825,186.004,173173,3
GOOD TIME,5Kpg1A7BOHpBbaT3H3xqd3,Niko Moon,6Rw7DRa1dzChBvxGPCpOxU,2020,['contemporary'],['contemporary'],0.79,0.646,5,-5.878,1,0.0447,0.132,0.0,0.295,0.641,138.047,214707,4
Beer Can’t Fix,7idmHTAQQPUFqdjXkoooXD,Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,2020,"['modern', 'contemporary', 'country']","['modern', 'contemporary', 'country']",0.711,0.774,7,-4.068,1,0.0308,0.0317,0.0,0.124,0.939,111.016,209733,4
Every Little Thing,3kgCJPXDlnL5bl1HFesHUi,Russell Dickerson,1E2AEtxaFaJtH0lO7kgNKw,2020,"['modern', 'contemporary', 'country']","['modern', 'contemporary', 'country']",0.637,0.853,1,-4.664,1,0.109,0.216,0.0,0.0357,0.861,93.87,190640,4
Famous,1m8Vr5xZ80ALZS42c5YJsD,Adam Doleac,4NsVVzuaZGk4aya8Pyacew,2020,"['contemporary', 'country']","['contemporary', 'country']",0.745,0.475,7,-5.574,1,0.0386,0.356,0.0,0.115,0.431,94.964,186960,4
if we never met (feat. Kelsea Ballerini),0x0yttxnfoqFUYL1UB3Ckh,John K,73eAAfRkS2Vi4hx68oTJJE,2020,"['pop', 'post-teen', 'electropop']",['pop'],0.957,0.365,8,-7.632,1,0.0512,0.207,0.0,0.132,0.355,107.967,144360,4
Thank Her For That,17AJsL6e9pH8YyiSQ35TCv,Owen Barney,066Vhw2eG06zPPpeOv1n9R,2020,['canadian'],['canadian'],0.683,0.687,5,-4.686,1,0.0563,0.0256,0.0,0.228,0.763,94.974,134888,4
Break Things,45hbxz8xCxQfa9vmnV187v,Kylie Morgan,3g2yaL04Uapb5fxmwsUZgV,2020,['country'],['country'],0.638,0.74,8,-5.071,1,0.0314,0.0329,0.0,0.134,0.673,105.006,172785,4
For My Money,7IMACrhQXp0mpDIC5Ttp3S,Brandon Lay,0H7XMkYygCyZGg8o1uqoZv,2020,"['modern', 'contemporary', 'country']","['modern', 'contemporary', 'country']",0.781,0.682,6,-7.161,0,0.0302,0.027,0.0,0.113,0.941,117.982,190100,4
Hard Dirt,1faTZ9hLHw0ibmY7GMp3FO,Hunter Brothers,13WkWlzyPWxHSfnNQxPsFT,2020,['canadian'],['canadian'],0.345,0.814,9,-5.931,1,0.064,0.034,0.0,0.0951,0.535,171.43,177210,4
Welcome,5OyDrpEkADJhlSvnopHuQ8,Spotify,5UUG83KSlqPhrBssrducWV,2020,[],[],0.0,0.404,1,-15.248,1,0.0,0.355,0.0,0.145,0.0,0.0,12005,0
Beer Never Broke My Heart,7aEtlGHoiPAfRB084NiDmx,Luke Combs,718COspgdWOnwOFpJHRZHS,2020,['contemporary'],['contemporary'],0.538,0.863,1,-4.483,1,0.0481,0.0139,0.0,0.0874,0.637,77.001,186733,4
The Box,0nbXyq5TXYPCO7pr3N8S4I,Roddy Ricch,757aE44tKEUQEqRuT6GnEB,2020,"['rap', 'melodic', 'trap']","['rap', 'melodic', 'trap']",0.896,0.586,10,-6.687,0,0.0559,0.104,0.0,0.79,0.642,116.971,196653,4
Blinding Lights,0VjIjW4GlUZAMYd2vXMi3b,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,2020,"['pop', 'canadian']","['pop', 'canadian']",0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,200040,4
Blueberry Faygo,22LAwLoDA5b4AaGSkg6bKW,Lil Mosey,5zctI4wO9XSKS8XwcnqEHk,2020,"['rap', 'melodic', 'vapor', 'trap']","['rap', 'melodic', 'trap']",0.774,0.554,0,-7.909,1,0.0383,0.207,0.0,0.132,0.349,99.034,162547,4
ROCKSTAR (feat. Roddy Ricch),7ytR5pFWmSjzHJIeQkgog4,DaBaby,4r63FhuTkUYltbVAg5TQnk,2020,"['rap', 'north']",['rap'],0.746,0.69,11,-7.956,1,0.164,0.247,0.0,0.101,0.497,89.977,181733,4
Life Is Good (feat. Drake),1K5KBOgreBi5fkEHvg5ap3,Future,1RyvyyTE3xzB2ZywiAwp0i,2020,"['atl', 'southern', 'pop', 'trap', 'rap']","['atl', 'pop', 'trap', 'rap']",0.795,0.574,2,-6.903,0,0.487,0.067,0.0,0.15,0.537,142.053,237918,4
Lucid Dreams,285pBltuF7vW8TeWk8hdRR,Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,2020,"['chicago', 'melodic']",['melodic'],0.511,0.566,6,-7.23,0,0.2,0.349,0.0,0.34,0.218,83.903,239836,4
Toosie Slide,466cKvZn1j45IpxDdYZqdA,Drake,3TVXtAsR1Inumwj472S9r4,2020,"['hip', 'pop', 'toronto', 'canadian', 'rap']","['hip', 'pop', 'canadian', 'rap']",0.83,0.49,1,-8.82,0,0.209,0.289,3.04e-06,0.113,0.845,81.604,247059,4
Futsal Shuffle 2020 - Bonus Track,2fOlBMkWR7lXJfqp5VTbDG,Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz,2020,"['rap', 'philly', 'melodic', 'trap']","['rap', 'melodic', 'trap']",0.879,0.448,7,-8.57,0,0.222,0.0346,0.0,0.224,0.278,136.985,198913,4
Circles,21jGcNKet2qwijlDFuPiPb,Post Malone,246dkjvS1zLTtiykXe5h60,2020,"['rap', 'melodic', 'dfw']","['rap', 'melodic']",0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,215280,4
cardigan,4R2kfaDFhslZEMJqAFNpdd,Taylor Swift,06HL4z0CvFAxyc27GXpf02,2020,"['pop', 'post-teen', 'dance']","['pop', 'dance']",0.613,0.581,0,-8.588,0,0.0424,0.537,0.000345,0.25,0.551,130.033,239560,4
All I Want for Christmas Is You,0bYg9bo50gSsH3LtXe2SQn,Mariah Carey,4iHNK0tOyZPYnBU7nGAgpQ,holidays,"['pop', 'urban', 'r&b', 'dance']","['pop', 'dance']",0.336,0.627,7,-7.463,1,0.0384,0.164,0.0,0.0708,0.35,150.273,241107,4
Last Christmas,0QPYn15U8IQHKcH2LDfrek,Wham!,5lpH0xAS4fVfLkACg9DAuM,holidays,"['new', 'europop', 'soft', 'dance']","['new', 'europop', 'dance']",0.735,0.645,11,-8.147,0,0.0273,0.277,0.0,0.458,0.881,106.753,266147,4
Santa Tell Me,1ADjWm8QNhgNV8yCNNgQ1T,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,holidays,"['pop', 'post-teen']",['pop'],0.464,0.63,7,-7.337,1,0.182,0.0464,0.0,0.295,0.527,132.96,204093,5
Rockin' Around The Christmas Tree - Single Version,1XBc4r6ltXjkFJBrsttwIF,Brenda Lee,4cPHsZM98sKzmV26wlwD2W,holidays,"['adult', 'brill']",['adult'],0.691,0.402,8,-12.149,1,0.0599,0.703,0.0,0.463,0.844,139.752,125827,4
It's Beginning to Look a Lot like Christmas,5a1iz510sv2W9Dt1MvFd5R,Michael Bublé,1GxkXlMwML1oSg5eLPiAz3,holidays,"['adult', 'lounge', 'jazz', 'canadian']","['adult', 'jazz', 'canadian']",0.339,0.214,4,-11.714,1,0.0375,0.908,7.47e-06,0.341,0.363,94.775,206640,3
A Holly Jolly Christmas - Single Version,33BcB8XVwJU4qB7bDSkVya,Burl Ives,0MHgLfmQdutffmvWe5XBTN,holidays,"['adult', 'american']",['adult'],0.665,0.363,0,-12.983,1,0.0318,0.644,0.0,0.15,0.824,140.296,133293,4
Christmas (Baby Please Come Home),46pF1zFimM582ss1PrMy68,Darlene Love,391oLRVmoTkumiN79HkTWu,holidays,"['adult', 'brill']",['adult'],0.325,0.759,8,-7.146,1,0.053,0.395,0.000362,0.0773,0.36,126.627,166453,4
It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),2pXpURmn6zC5ZYDMms6fwa,Perry Como,5v8jlSmAQfrkTjAlpUfWtu,holidays,"['easy', 'adult', 'vocal', 'brill']",['adult'],0.724,0.276,7,-12.25,1,0.0599,0.76,0.0,0.116,0.718,112.874,155933,4
Jingle Bell Rock,6xE98wKYt4vZk8j7cctjw8,Bobby Helms,38EmEgXkgK51MT2tPY0EoC,holidays,['adult'],['adult'],0.662,0.403,2,-12.029,1,0.0291,0.667,0.0,0.0527,0.85,119.891,131733,4
Rockin' Around The Christmas Tree,28fuXrmmF9dYWx25dMW9dP,Brenda Lee,4cPHsZM98sKzmV26wlwD2W,holidays,"['adult', 'brill']",['adult'],0.679,0.554,8,-6.413,1,0.0518,0.653,0.0,0.509,0.871,141.264,124520,4
The Christmas Song (arr. piano),4bcrfPo51Gy2OGF37J9ysl,Stephan Moccio,25s9H1JQmTu3iuFzpXWUIg,holidays,"['background', 'calming', 'neo-classical']","['background', 'calming', 'neo-classical']",0.361,0.0156,6,-29.853,1,0.0378,0.987,0.945,0.108,0.0717,123.646,250907,5
Angels We Have Heard on High,5RH7e8dotrJNLdfbDgXkxG,Amelia van Hootens,2dxYzyXrxRkUSwbG2ksVI1,holidays,['christmas'],['christmas'],0.578,0.0616,9,-23.99,1,0.052,0.994,0.96,0.0866,0.354,77.716,138154,4
The Holly And The Ivy,1P18ltJxfFIejLveMmUhGH,Dana Daoud,4vMPvxFb0j16yjLxCQKNR8,holidays,['christmas'],['christmas'],0.533,0.0499,5,-24.677,1,0.0636,0.995,0.937,0.13,0.432,70.705,144134,3
Christmas Time Is Here,1gGlPQjBUdJ7mTtcumuFjC,Amy Soonyoung,3PsjPJKC9SjOmEYcHRw5Rd,holidays,['christmas'],['christmas'],0.552,0.0226,0,-26.358,0,0.0467,0.994,0.935,0.11,0.109,71.72,171761,3
Hark! The Herald Angels Sing,2DLDeRXsuBnTMtkBDghOcp,Donald Shoenberg,7nOXih1DNL8bKeWIgo65Bj,holidays,['christmas'],['christmas'],0.631,0.0346,5,-21.231,1,0.0502,0.993,0.959,0.0864,0.36,84.395,128324,4
Have Yourself a Merry Little Christmas,177r7J6bnoMnW4MQx1GQng,Daniela Andrade,0WfaItAbs4vlgIA1cuqGtJ,holidays,"['folk-pop', 'canadian']",['canadian'],0.616,0.226,6,-7.552,1,0.0407,0.859,0.0,0.103,0.437,95.219,113421,4
Last Christmas - Acoustic,43uXIWjaFs5pHoMnzDB8BT,Halloran & Kate,26GKAYYuyr424SdSkr8xlQ,holidays,"['channel', 'viral']",['viral'],0.616,0.246,1,-11.677,1,0.0263,0.851,0.0,0.116,0.387,78.027,188651,4
I'll Be Home For Christmas - Acoustic,6dEtlgS8BpdsgdYsXfOclm,Sara Farell,39S7Y72G0tdDPy2INGFicV,holidays,['viral'],['viral'],0.665,0.106,5,-13.138,1,0.0306,0.89,5.61e-05,0.109,0.184,88.466,177838,4
"Baby, It's Cold Outside",3xvFTqHmlMqKjHgczCGn2C,Lydia Liza,69APTdcqAgiLyRm7kqvRCX,holidays,[],[],0.633,0.331,0,-9.232,1,0.0528,0.961,0.0,0.12,0.68,119.809,112872,4
The Christmas Waltz,2QopSlvNVohyDbU1n185Rn,Mother's Daughter,09AgPKJAS5Muco3pU4xh7k,holidays,['acoustic'],['acoustic'],0.465,0.0981,8,-12.526,1,0.0324,0.836,0.0,0.172,0.523,139.632,110330,4
Santa Tell Me,0lizgQ7Qw35od7CYaoMBZb,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,holidays,"['pop', 'post-teen']",['pop'],0.525,0.621,7,-7.364,1,0.116,0.0489,0.0,0.294,0.591,191.9,204093,4
All I Want for Christmas Is You,0bYg9bo50gSsH3LtXe2SQn,Mariah Carey,4iHNK0tOyZPYnBU7nGAgpQ,holidays,"['pop', 'urban', 'r&b', 'dance']","['pop', 'dance']",0.336,0.627,7,-7.463,1,0.0384,0.164,0.0,0.0708,0.35,150.273,241107,4
Mistletoe,7xapw9Oy21WpfEcib2ErSA,Justin Bieber,1uNFoZAHBGtllmzznpCI3s,holidays,"['pop', 'post-teen', 'canadian']","['pop', 'canadian']",0.657,0.56,6,-9.049,0,0.0467,0.498,0.0,0.0794,0.854,161.993,182947,4
Holly Jolly Christmas,6tjituizSxwSmBB5vtgHZE,Michael Bublé,1GxkXlMwML1oSg5eLPiAz3,holidays,"['adult', 'lounge', 'jazz', 'canadian']","['adult', 'jazz', 'canadian']",0.647,0.465,7,-8.308,1,0.0428,0.865,0.0,0.0882,0.699,151.251,119787,4
Naughty List (with Dixie D’Amelio),2Y0ktCGrGoGcQFXsGztvhi,Liam Payne,5pUo3fmmHT8bhCyHE52hA6,holidays,"['pop', 'post-teen', 'dance']","['pop', 'dance']",0.619,0.771,9,-2.204,1,0.0601,0.0318,0.0,0.114,0.704,81.966,154747,4
if we never met (feat. Kelsea Ballerini),0x0yttxnfoqFUYL1UB3Ckh,John K,73eAAfRkS2Vi4hx68oTJJE,at_home,"['pop', 'post-teen', 'electropop']",['pop'],0.957,0.365,8,-7.632,1,0.0512,0.207,0.0,0.132,0.355,107.967,144360,4
Demons,3LlAyCYU26dvFZBDUIMb7a,Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,at_home,"['pop', 'rock', 'modern']","['pop', 'rock', 'modern']",0.505,0.71,3,-3.015,1,0.0321,0.19,0.00025,0.329,0.428,89.938,175200,4
Youngblood,2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,at_home,"['pop', 'post-teen', 'boy', 'dance']","['pop', 'dance']",0.596,0.854,7,-5.114,0,0.463,0.0169,0.0,0.124,0.152,120.274,203418,4
Without Me,5p7ujcrUXASCNwRaWNHR1C,Halsey,26VFTg2z8YR0cCuwLzESi2,at_home,"['pop', 'indie', 'etherpop', 'post-teen', 'electropop', 'dance']","['pop', 'indie', 'dance']",0.752,0.488,6,-7.05,1,0.0705,0.297,9.11e-06,0.0936,0.533,136.041,201661,4
This City,3H3r2nKWa3Yk5gt8xgmsEt,Sam Fischer,6L1XC7NrmgWRlwAeLJvVtA,at_home,"['pop', 'australian', 'uk']","['pop', 'australian', 'uk']",0.605,0.377,11,-6.213,1,0.0443,0.733,0.0,0.0808,0.519,73.877,194853,4
(Everything I Do) I Do It For You,1Eb90nmqTrxylKFhcUzW8P,Bryan Adams,3Z02hBLubJxuFJfhacLSDc,at_home,"['mellow', 'rock', 'pop', 'album', 'heartland', 'classic', 'canadian', 'soft']","['mellow', 'rock', 'pop', 'classic', 'canadian']",0.533,0.36,1,-12.633,1,0.0282,0.0805,1.03e-05,0.0631,0.299,131.229,393640,4
Another Day in Paradise - 2016 Remaster,1NCuYqMc8hKMb4cpNTcJbD,Phil Collins,4lxfqrEsLX6N1N4OCSkILp,at_home,"['rock', 'soft', 'mellow']","['rock', 'mellow']",0.78,0.565,3,-7.32,0,0.0306,0.736,0.00269,0.063,0.365,101.967,322133,4
All Night Long (All Night) - Single Version,4czNORk5MjW5WOn98bki32,Lionel Richie,3gMaNLQm7D9MornNILzdSl,at_home,"['quiet', 'mellow', 'adult', 'disco', 'motown', 'soft']","['mellow', 'adult', 'disco', 'motown']",0.748,0.603,1,-12.044,1,0.043,0.15,0.000261,0.0269,0.827,108.831,258667,4
Kiss Me,754kgU5rWscRTfvlsuEwFp,Sixpence None The Richer,0lJlKQvuM2Sd9DPPyUXcHg,at_home,"['pop', 'lilith', 'neo']","['pop', 'neo']",0.526,0.749,3,-6.964,1,0.0283,0.023,1.76e-06,0.0692,0.421,99.982,208680,4
The Man Who Can't Be Moved,4AFwnrH5atiJoAd5xS5QtR,The Script,3AQRLZ9PuTAozP28Skbq8V,at_home,"['pop', 'neo', 'viral', 'celtic', 'post-teen', 'dance']","['pop', 'neo', 'viral', 'dance']",0.605,0.629,10,-5.051,1,0.0279,0.437,0.0,0.097,0.308,99.894,241373,4
I Follow Rivers,38eDoBAphAMkPVPLFOkyKI,Helion,05GSra7vTwr8o54Brzp2nA,at_home,['melbourne'],['melbourne'],0.608,0.769,0,-7.086,1,0.0373,0.00658,0.0717,0.142,0.494,125.05,150720,4
Don't Leave Me Now,59VDjcpB2I8psQasslQpdK,Lost Frequencies,7f5Zgnp2spUuuzKplmRkt7,at_home,"['pop', 'tropical', 'belgian', 'edm']","['pop', 'tropical', 'edm']",0.671,0.752,6,-6.806,0,0.0304,0.0258,0.0,0.112,0.717,124.998,195080,4
Unbreakable (feat. Clarence Coffee Jr.),0t7F6nflyhy7UR9yzTBAHl,BUNT.,2CpLIMBoE2ZzyY3ZBCRZ7j,at_home,"['pop', 'tropical', 'deep']","['pop', 'tropical', 'deep']",0.441,0.738,4,-3.169,1,0.0449,0.0105,0.0,0.126,0.208,126.954,238628,4
Hallucinate - Paul Woolford Remix,3v7hMuewavfpJx8sytJ4AO,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,at_home,"['pop', 'uk', 'dance']","['pop', 'uk', 'dance']",0.568,0.768,0,-7.654,0,0.0306,0.00237,0.012,0.196,0.523,123.963,238766,4
You Should Know (feat. Craig Smart),7mA8qSlC9F04DEQV8ZcKqx,Sam Feldt,20gsENnposVs2I4rQ5kvrf,at_home,"['dance', 'pop', 'electro', 'tropical', 'edm']","['dance', 'pop', 'electro', 'tropical', 'edm']",0.597,0.915,2,-2.94,1,0.296,0.0165,1.6e-05,0.199,0.609,123.982,142258,4
Prey,10XX9bqEN46ZISDX07ahQF,Lehiotik,7gKM0lBcb636h4fhAdQ72u,at_home,[],[],0.417,0.184,9,-13.227,0,0.0579,0.91,0.865,0.151,0.0372,119.832,86125,3
I Don't Care,1o6cDsvkbZ4riUNoczuBaX,aesvec.,2zfutwYGY2KGkV4VCz0uLl,at_home,[],[],0.71,0.193,0,-16.519,0,0.0747,0.665,0.846,0.115,0.152,80.062,121510,4
Crush,5LInpL87GTv98Uur64L3D6,braj mahal,2uHJReWme1oJ0jaXD1fiHT,at_home,[],[],0.841,0.429,5,-6.94,1,0.161,0.505,0.545,0.221,0.724,79.022,109367,4
Wish We Could Stay Like This Forever,0f0EDZUFDo8f27Dg4SmCWk,ocha,2XXkRPi7NhXPf4vOPIG9zh,at_home,"['chillhop', 'focus', 'lo-fi']","['focus', 'lo-fi']",0.658,0.335,4,-14.835,1,0.218,0.741,0.872,0.133,0.466,79.895,168000,4
Sweet Hangover,5kGxA8CYmy5aUAcv2zHtwj,Peter Kind,1xMxQQ71TIGQgzH4NY0ECM,at_home,['lo-fi'],['lo-fi'],0.742,0.334,1,-9.704,0,0.068,0.418,0.0193,0.105,0.615,80.008,112714,4
PAPÁS,2pI0OyprOJssVYlqx9ZO3t,Mau y Ricky,2wkoKEfS6dXwThbyTnZWFU,at_home,"['pop', 'trap', 'latin', 'reggaeton']","['pop', 'trap', 'latin', 'reggaeton']",0.785,0.847,6,-3.182,0,0.0904,0.083,0.0,0.101,0.932,93.024,193187,4
Tattoo - Remix with Camilo,4ZRrLHqzhGRXYj2qcB4s5S,Rauw Alejandro,1mcTU81TzQhprhouKaTkpq,at_home,"['trap', 'puerto']",['trap'],0.848,0.637,9,-5.132,1,0.156,0.0413,0.0,0.0521,0.698,96.988,222680,4
Caramelo,3gD4J3RUHy4OUuZ3qAiaiG,Ozuna,1i8SpTcr7yvPOmcqrbnVXY,at_home,"['trap', 'latin', 'puerto', 'reggaeton']","['trap', 'latin', 'reggaeton']",0.728,0.806,6,-3.766,1,0.0623,0.0531,0.000301,0.153,0.698,168.084,217547,4
my future,2ygvZOXrIeVL4xZmAWJT2C,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,at_home,"['pop', 'electropop']",['pop'],0.444,0.309,8,-10.956,1,0.062,0.795,0.132,0.352,0.0875,104.745,208155,4
Intentions (feat. Quavo),4umIPjkehX1r7uhmGvXiSV,Justin Bieber,1uNFoZAHBGtllmzznpCI3s,at_home,"['pop', 'post-teen', 'canadian']","['pop', 'canadian']",0.806,0.546,9,-6.637,1,0.0575,0.3,0.0,0.102,0.874,147.986,212867,4
